"k","V","minN","POrig.Method","delta","N.orig","true.effect.dist","n","Reject.mn","EstMean.mn","EstVar.mn","I2.mn","N.tot","k.pretty","N.tot.pretty","N.orig.pretty","delta.pretty","V.pretty","dist.pretty"
5,0.002,50,"reml",1,200,"t.scaled",5072,0.889392744479495,0.500683520481157,0.0608496848575718,34.3011249097481,250,"No. replications: 5","N =  250","Norig =  200","delta =  1","V =  0.002","t"
5,0.002,50,"reml",1,200,"unif2",5472,0.905519005847953,0.500544627214164,0.0555398518787141,32.7296651950268,250,"No. replications: 5","N =  250","Norig =  200","delta =  1","V =  0.002","Uniform mixture"
5,0.002,300,"pm",0,30,"expo",6144,0.0423177083333333,0.500901289049483,0.0112059366257486,36.8967822835625,1500,"No. replications: 5","N =  1500","Norig =  30","delta =  0","V =  0.002","Exponential"
5,0.002,300,"pm",0,30,"normal",6144,0.0335286458333333,0.496832056788514,0.0106941300652087,36.1452522963532,1500,"No. replications: 5","N =  1500","Norig =  30","delta =  0","V =  0.002","Normal"
5,0.002,300,"pm",0,30,"t.scaled",6144,0.0455729166666667,0.498745373031663,0.0153822125200206,41.2266220121614,1500,"No. replications: 5","N =  1500","Norig =  30","delta =  0","V =  0.002","t"
5,0.002,300,"pm",0,30,"unif2",5984,0.0401069518716578,0.499984465746964,0.0103300630629728,35.6167389641223,1500,"No. replications: 5","N =  1500","Norig =  30","delta =  0","V =  0.002","Uniform mixture"
5,0.002,300,"pm",0,50,"expo",4608,0.0397135416666667,0.501936420885314,0.0106453624673203,35.8961930919732,1500,"No. replications: 5","N =  1500","Norig =  50","delta =  0","V =  0.002","Exponential"
5,0.002,300,"pm",0,50,"normal",4592,0.0376742160278746,0.499115381355514,0.0105512983417847,35.9053866071816,1500,"No. replications: 5","N =  1500","Norig =  50","delta =  0","V =  0.002","Normal"
5,0.002,300,"pm",0,50,"t.scaled",3984,0.0376506024096386,0.501362838440942,0.0145190903244278,40.4683419713451,1500,"No. replications: 5","N =  1500","Norig =  50","delta =  0","V =  0.002","t"
5,0.002,300,"pm",0,50,"unif2",4320,0.0349537037037037,0.499659224706203,0.0107230025146265,35.8232982781616,1500,"No. replications: 5","N =  1500","Norig =  50","delta =  0","V =  0.002","Uniform mixture"
5,0.002,300,"pm",0,200,"expo",6144,0.0260416666666667,0.502122798079222,0.0110919288536161,36.6934155722999,1500,"No. replications: 5","N =  1500","Norig =  200","delta =  0","V =  0.002","Exponential"
5,0.002,300,"pm",0,200,"normal",6144,0.0270182291666667,0.497528242184385,0.0109812439514775,36.7690036702741,1500,"No. replications: 5","N =  1500","Norig =  200","delta =  0","V =  0.002","Normal"
5,0.002,300,"pm",0,200,"t.scaled",6144,0.0364583333333333,0.498708890951301,0.0166659661496449,41.3551471046304,1500,"No. replications: 5","N =  1500","Norig =  200","delta =  0","V =  0.002","t"
5,0.002,300,"pm",0,200,"unif2",6144,0.0257161458333333,0.499594939236412,0.0102629257177264,35.338699841754,1500,"No. replications: 5","N =  1500","Norig =  200","delta =  0","V =  0.002","Uniform mixture"
5,0.002,300,"pm",0.2,30,"expo",6144,0.056640625,0.500991940220564,0.0108289082196762,36.1268247147769,1500,"No. replications: 5","N =  1500","Norig =  30","delta =  0.2","V =  0.002","Exponential"
5,0.002,300,"pm",0.2,30,"normal",6144,0.0628255208333333,0.500340686254619,0.0106650393082237,35.8935494042704,1500,"No. replications: 5","N =  1500","Norig =  30","delta =  0.2","V =  0.002","Normal"
5,0.002,300,"pm",0.2,30,"t.scaled",6144,0.0703125,0.500554054068204,0.0154016922162097,41.2835361551675,1500,"No. replications: 5","N =  1500","Norig =  30","delta =  0.2","V =  0.002","t"
5,0.002,300,"pm",0.2,30,"unif2",6144,0.060546875,0.499980129926747,0.0106149119882373,35.8681193175614,1500,"No. replications: 5","N =  1500","Norig =  30","delta =  0.2","V =  0.002","Uniform mixture"
5,0.002,300,"pm",0.2,50,"expo",4592,0.0716463414634146,0.501367744732847,0.0107266843234752,36.0402602383053,1500,"No. replications: 5","N =  1500","Norig =  50","delta =  0.2","V =  0.002","Exponential"
5,0.002,300,"pm",0.2,50,"normal",4400,0.0688636363636364,0.499669408834493,0.0106676169152456,35.9376771334774,1500,"No. replications: 5","N =  1500","Norig =  50","delta =  0.2","V =  0.002","Normal"
5,0.002,300,"pm",0.2,50,"t.scaled",4528,0.0772968197879859,0.498842566250839,0.0158445926869575,40.9522806344753,1500,"No. replications: 5","N =  1500","Norig =  50","delta =  0.2","V =  0.002","t"
5,0.002,300,"pm",0.2,50,"unif2",5376,0.0703125,0.499588819950588,0.0105394226040394,35.8739218374985,1500,"No. replications: 5","N =  1500","Norig =  50","delta =  0.2","V =  0.002","Uniform mixture"
5,0.002,300,"pm",0.2,200,"expo",6144,0.166666666666667,0.500539321039376,0.0108142479794843,35.9746990903341,1500,"No. replications: 5","N =  1500","Norig =  200","delta =  0.2","V =  0.002","Exponential"
5,0.002,300,"pm",0.2,200,"normal",6144,0.1591796875,0.49784268953089,0.0105090438678303,35.8523486077577,1500,"No. replications: 5","N =  1500","Norig =  200","delta =  0.2","V =  0.002","Normal"
5,0.002,300,"pm",0.2,200,"t.scaled",5968,0.152479892761394,0.497482698241315,0.0154390063970737,41.0753417067691,1500,"No. replications: 5","N =  1500","Norig =  200","delta =  0.2","V =  0.002","t"
5,0.002,300,"pm",0.2,200,"unif2",6144,0.152669270833333,0.499993412276663,0.010560626926829,35.9867164309986,1500,"No. replications: 5","N =  1500","Norig =  200","delta =  0.2","V =  0.002","Uniform mixture"
5,0.002,300,"pm",0.5,30,"expo",6144,0.196614583333333,0.502375184248528,0.0105177796096527,35.7202368945018,1500,"No. replications: 5","N =  1500","Norig =  30","delta =  0.5","V =  0.002","Exponential"
5,0.002,300,"pm",0.5,30,"normal",6144,0.200520833333333,0.499082030327434,0.0105963159146688,35.8134812994504,1500,"No. replications: 5","N =  1500","Norig =  30","delta =  0.5","V =  0.002","Normal"
5,0.002,300,"pm",0.5,30,"t.scaled",6144,0.192057291666667,0.501316117125455,0.0138932321007121,40.1212635541565,1500,"No. replications: 5","N =  1500","Norig =  30","delta =  0.5","V =  0.002","t"
5,0.002,300,"pm",0.5,30,"unif2",5984,0.203877005347594,0.499182645326122,0.0105304175752684,35.7084714008996,1500,"No. replications: 5","N =  1500","Norig =  30","delta =  0.5","V =  0.002","Uniform mixture"
5,0.002,300,"pm",0.5,50,"expo",6144,0.306966145833333,0.502677831498317,0.0111677897984809,36.952756879528,1500,"No. replications: 5","N =  1500","Norig =  50","delta =  0.5","V =  0.002","Exponential"
5,0.002,300,"pm",0.5,50,"normal",6144,0.322916666666667,0.499709975828065,0.0107925085945101,36.2804821406648,1500,"No. replications: 5","N =  1500","Norig =  50","delta =  0.5","V =  0.002","Normal"
5,0.002,300,"pm",0.5,50,"t.scaled",6144,0.287434895833333,0.50007718934772,0.0155909531171725,41.4822160770145,1500,"No. replications: 5","N =  1500","Norig =  50","delta =  0.5","V =  0.002","t"
5,0.002,300,"pm",0.5,50,"unif2",6144,0.30859375,0.499438273394846,0.0106491148348945,35.9476089937324,1500,"No. replications: 5","N =  1500","Norig =  50","delta =  0.5","V =  0.002","Uniform mixture"
5,0.002,300,"pm",0.5,200,"expo",6080,0.759375,0.50071651503376,0.0110512110463749,36.5119467279875,1500,"No. replications: 5","N =  1500","Norig =  200","delta =  0.5","V =  0.002","Exponential"
5,0.002,300,"pm",0.5,200,"normal",5648,0.760092067988669,0.499377902767316,0.0109102841159862,36.4035755820575,1500,"No. replications: 5","N =  1500","Norig =  200","delta =  0.5","V =  0.002","Normal"
5,0.002,300,"pm",0.5,200,"t.scaled",4720,0.707415254237288,0.498779945227835,0.0151279925280579,41.4602238866802,1500,"No. replications: 5","N =  1500","Norig =  200","delta =  0.5","V =  0.002","t"
5,0.002,300,"pm",0.5,200,"unif2",5280,0.760037878787879,0.498688035432884,0.010529053161825,36.1841910726053,1500,"No. replications: 5","N =  1500","Norig =  200","delta =  0.5","V =  0.002","Uniform mixture"
